PLAYER_ID,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS
2544,LeBron James,34.92,9.3,18.14,0.51,2.13,5.66,0.35,3.7,4.73,0.75,1.03,6.77,7.8,8.21,3.71,1.0,0.56,0.73,1.41,3.79,24.43
101108,Chris Paul,27.95,3.04,7.11,0.43,1.71,4.52,0.39,1.04,1.12,0.48,0.4,3.21,3.61,7.38,1.57,1.26,0.27,0.11,1.84,1.04,8.82
200768,Kyle Lowry,18.84,1.17,3.34,0.26,0.83,2.51,0.25,0.77,0.94,0.26,0.31,1.6,1.91,2.74,0.6,0.94,0.31,0.2,1.77,1.06,3.94
200782,P.J. Tucker,19.29,1.0,2.33,0.3,1.0,2.0,0.33,0.0,0.0,0.0,1.33,1.33,2.67,0.0,0.33,0.33,0.33,0.0,2.67,0.33,3.0
201142,Kevin Durant,36.53,9.55,18.13,0.54,2.58,6.0,0.47,4.89,5.82,0.81,0.37,5.66,6.03,4.24,3.06,0.81,1.24,0.52,1.68,5.34,26.56
201143,Al Horford,27.64,3.25,7.68,0.41,1.9,5.23,0.34,0.57,0.63,0.25,1.32,4.83,6.15,2.13,0.77,0.6,0.85,0.13,1.35,0.58,8.97
201144,Mike Conley,24.73,2.63,6.59,0.39,1.79,4.37,0.41,1.14,1.27,0.41,0.45,2.11,2.56,4.49,1.06,1.11,0.2,0.25,1.56,1.41,8.2
201145,Jeff Green,12.39,1.91,3.78,0.47,0.91,2.47,0.33,0.66,0.81,0.23,0.34,1.47,1.81,0.62,0.28,0.19,0.12,0.06,1.0,0.56,5.38
201566,Russell Westbrook,27.9,4.97,11.08,0.45,1.25,3.88,0.29,2.05,3.11,0.53,1.36,3.57,4.93,6.09,3.23,1.41,0.49,0.71,2.51,2.29,13.25
201567,Kevin Love,10.93,1.78,5.0,0.28,1.04,2.91,0.25,0.7,1.0,0.24,0.96,3.13,4.09,0.96,0.61,0.65,0.17,0.26,0.91,0.96,5.3
201569,Eric Gordon,19.7,2.23,5.23,0.38,1.44,3.51,0.34,0.92,1.23,0.36,0.21,0.97,1.18,1.67,0.72,0.67,0.31,0.36,0.82,0.85,6.82
201572,Brook Lopez,31.83,4.92,9.68,0.51,1.74,4.66,0.36,1.42,1.72,0.53,1.41,3.6,5.01,1.79,1.05,0.62,1.85,0.25,2.14,1.69,13.01
201587,Nicolas Batum,17.53,1.33,3.05,0.37,1.13,2.6,0.37,0.22,0.27,0.12,0.6,2.19,2.79,1.08,0.44,0.67,0.46,0.06,1.42,0.27,4.01
201599,DeAndre Jordan,12.33,1.62,2.5,0.58,0.0,0.0,0.0,0.48,1.14,0.15,1.5,3.57,5.07,0.95,0.71,0.29,0.48,0.25,1.32,1.21,3.73
201935,James Harden,35.3,6.72,16.39,0.41,2.97,8.46,0.35,6.39,7.32,0.86,0.7,5.08,5.77,8.7,4.32,1.49,0.7,0.82,2.05,4.7,22.81
201939,Stephen Curry,32.18,8.06,17.97,0.45,4.44,11.2,0.39,3.99,4.27,0.84,0.57,3.86,4.43,6.01,2.86,1.14,0.43,0.67,1.36,3.53,24.54
201942,DeMar DeRozan,35.94,8.1,16.99,0.48,1.09,3.32,0.3,4.91,5.73,0.83,0.65,3.22,3.87,4.44,1.36,0.81,0.42,0.74,1.95,4.1,22.21
201949,James Johnson,3.05,0.33,0.92,0.18,0.0,0.25,0.0,0.0,0.08,0.0,0.0,0.5,0.5,0.33,0.33,0.0,0.17,0.0,0.42,0.08,0.67
201950,Jrue Holiday,30.58,4.1,9.24,0.44,1.74,4.94,0.32,1.13,1.24,0.39,1.23,3.05,4.27,3.85,1.24,1.06,0.44,0.37,1.63,1.21,11.06
201959,Taj Gibson,11.05,1.27,2.57,0.44,0.03,0.05,0.01,0.32,0.54,0.16,1.38,1.86,3.24,0.57,0.68,0.24,0.49,0.32,1.46,0.54,2.89
201988,Patty Mills,11.06,1.24,3.31,0.29,0.9,2.59,0.27,0.45,0.48,0.19,0.14,0.62,0.76,0.9,0.59,0.45,0.1,0.1,0.83,0.62,3.83
202066,Garrett Temple,8.1,0.64,2.14,0.15,0.21,1.0,0.11,0.39,0.43,0.17,0.32,0.71,1.04,1.11,0.36,0.61,0.07,0.14,0.82,0.54,1.89
202331,Paul George,32.53,5.98,13.9,0.42,2.34,6.54,0.35,1.93,2.37,0.57,0.59,4.76,5.34,4.34,2.59,1.83,0.49,0.49,2.46,2.68,16.22
202681,Kyrie Irving,36.08,8.94,18.9,0.48,2.88,7.18,0.37,3.92,4.28,0.85,1.2,3.6,4.8,4.62,2.22,1.32,0.46,0.8,2.02,3.28,24.68
202684,Tristan Thompson,8.2,0.78,1.78,0.31,0.0,0.08,0.0,0.18,0.75,0.07,0.8,2.55,3.35,0.6,0.35,0.05,0.28,0.18,0.9,0.55,1.72
202685,Jonas Valančiūnas,18.81,4.26,7.74,0.55,0.1,0.46,0.07,1.79,2.04,0.68,2.35,5.4,7.74,2.02,1.48,0.46,0.57,0.48,2.23,2.07,10.41
202687,Bismack Biyombo,18.84,2.39,4.07,0.52,0.0,0.0,0.0,0.36,0.89,0.14,1.54,4.11,5.64,1.11,0.96,0.57,0.82,0.39,1.86,1.0,5.14
202691,Klay Thompson,27.29,5.01,12.18,0.4,3.0,7.68,0.37,0.93,1.03,0.37,0.61,2.81,3.42,2.01,1.22,0.69,0.42,0.29,1.12,0.71,13.96
202692,Alec Burks,17.62,2.35,5.53,0.38,1.8,4.22,0.36,0.78,1.0,0.31,0.31,2.22,2.53,1.12,0.59,0.57,0.14,0.18,0.76,0.88,7.27
202693,Markieff Morris,10.96,1.4,4.67,0.29,0.6,2.4,0.28,0.33,0.4,0.17,0.2,1.33,1.53,1.4,0.33,0.13,0.2,0.13,1.07,0.33,3.73
202695,Kawhi Leonard,31.89,8.38,16.84,0.5,2.11,5.14,0.39,2.65,3.27,0.71,0.95,4.97,5.92,3.14,1.95,1.59,0.46,0.3,1.51,3.3,21.51
202696,Nikola Vučević,31.21,7.53,14.22,0.54,1.77,4.4,0.39,1.64,2.04,0.53,2.44,7.63,10.07,3.51,1.63,0.84,0.71,0.52,2.23,2.25,18.48
202699,Tobias Harris,31.58,5.26,11.03,0.47,1.25,3.62,0.3,1.96,2.27,0.61,0.89,5.03,5.92,2.22,1.16,1.01,0.78,0.63,1.89,1.66,13.73
202704,Reggie Jackson,12.39,1.68,4.29,0.35,0.81,2.39,0.26,0.23,0.29,0.13,0.26,1.1,1.35,1.45,0.55,0.52,0.1,0.1,1.1,0.26,4.39
202709,Cory Joseph,12.23,1.24,3.08,0.36,0.78,2.14,0.29,0.28,0.36,0.14,0.34,1.14,1.48,1.44,0.36,0.52,0.08,0.1,1.0,0.76,3.54
202710,Jimmy Butler III,31.75,5.47,10.85,0.5,0.58,1.89,0.29,6.0,7.13,0.79,2.27,3.11,5.38,5.42,1.35,1.4,0.33,0.91,0.95,5.15,17.53
203076,Anthony Davis,33.44,9.22,17.84,0.51,0.69,2.43,0.23,5.61,7.24,0.71,2.63,8.94,11.57,3.55,2.22,1.16,2.16,0.76,1.92,5.35,24.73
203078,Bradley Beal,32.12,6.51,13.09,0.48,1.92,4.98,0.37,2.08,2.58,0.53,0.64,2.7,3.34,3.68,1.87,1.09,0.53,0.4,2.57,2.17,17.02
203081,Damian Lillard,36.08,7.66,17.1,0.44,3.4,9.03,0.37,6.24,6.78,0.91,0.5,4.19,4.69,7.07,2.79,1.21,0.17,0.74,1.67,5.16,24.95
203083,Andre Drummond,18.77,2.92,5.85,0.5,0.08,0.5,0.05,1.4,2.25,0.47,2.72,5.03,7.75,0.85,1.38,0.98,0.45,0.72,2.35,1.72,7.32
203084,Harrison Barnes,27.2,4.23,8.33,0.48,1.9,4.39,0.4,1.96,2.43,0.58,1.18,2.6,3.78,1.66,0.61,0.48,0.17,0.34,0.91,1.79,12.33
203109,Jae Crowder,11.42,0.78,2.44,0.19,0.44,1.67,0.19,0.56,0.67,0.09,0.67,1.56,2.22,0.67,0.44,0.33,0.0,0.11,1.11,0.33,2.56
203110,Draymond Green,29.17,3.18,7.49,0.41,1.18,3.62,0.28,1.49,2.16,0.49,1.09,5.0,6.09,5.63,2.56,1.46,1.03,0.31,3.22,2.59,9.01
203114,Khris Middleton,22.79,4.32,9.11,0.44,1.3,3.59,0.3,1.95,2.27,0.56,0.35,3.35,3.7,4.05,1.51,0.95,0.22,0.35,2.03,1.86,11.89
203458,Alex Len,8.26,0.7,1.37,0.32,0.04,0.2,0.03,0.17,0.37,0.08,0.83,1.24,2.07,0.83,0.43,0.2,0.46,0.15,1.22,0.39,1.61
