TEAM_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS
Atlanta Hawks,48.24,43.37,91.8,0.47,13.5,37.67,0.36,17.95,23.17,0.77,11.88,32.62,44.5,29.59,15.52,9.73,5.11,4.91,19.07,19.06,118.18
Boston Celtics,48.37,41.62,90.02,0.46,17.77,48.23,0.37,15.26,19.09,0.8,11.38,33.94,45.32,26.15,11.87,7.18,5.51,3.6,15.89,17.54,116.27
Brooklyn Nets,48.24,37.63,86.1,0.44,13.57,39.41,0.34,16.27,20.68,0.79,10.9,30.4,41.3,25.16,15.17,7.79,4.29,5.57,20.71,18.9,105.11
Charlotte Hornets,48.18,38.32,89.12,0.43,12.99,38.33,0.34,15.48,19.77,0.78,12.23,32.96,45.2,24.32,15.5,7.4,4.49,5.3,18.72,18.15,105.1
Chicago Bulls,48.18,43.21,92.01,0.47,15.44,42.04,0.37,15.95,19.72,0.81,10.06,35.79,45.85,29.06,14.67,7.57,4.71,5.09,17.61,16.76,117.8
Cleveland Cavaliers,48.18,44.54,90.78,0.49,15.89,41.48,0.38,16.98,21.87,0.77,11.18,34.22,45.4,28.1,13.2,8.17,4.27,4.4,18.13,18.94,121.94
Dallas Mavericks,48.12,41.99,87.73,0.48,12.44,34.16,0.36,17.78,23.1,0.77,10.1,32.95,43.05,25.24,14.04,7.76,5.43,4.57,17.78,18.68,114.2
Denver Nuggets,48.43,45.41,89.76,0.51,12.0,31.94,0.38,17.93,23.28,0.77,11.21,34.54,45.74,31.0,14.26,8.0,4.9,5.12,17.61,19.05,120.76
Detroit Pistons,48.3,42.72,89.79,0.48,12.82,35.38,0.36,17.24,22.27,0.77,11.35,33.4,44.76,26.4,14.87,7.95,5.26,5.04,20.67,18.91,115.5
Golden State Warriors,48.12,40.76,90.39,0.45,15.41,42.38,0.36,16.87,22.09,0.76,12.55,32.83,45.38,29.1,14.05,9.4,4.77,5.38,19.16,18.57,113.79
Houston Rockets,48.24,42.49,93.4,0.46,12.66,35.83,0.35,16.66,22.57,0.74,14.63,33.83,48.46,23.34,13.89,8.4,5.01,5.7,18.99,19.23,114.29
Indiana Pacers,48.43,43.59,89.34,0.49,13.18,35.78,0.37,17.01,21.56,0.79,9.17,32.66,41.83,29.24,13.2,8.46,5.46,4.46,18.7,18.79,117.37
LA Clippers,48.3,41.57,86.28,0.48,12.46,33.39,0.38,17.27,21.66,0.8,10.26,33.54,43.79,25.17,14.88,9.43,4.51,4.29,18.33,17.78,112.88
Los Angeles Lakers,48.12,40.93,85.45,0.48,13.32,36.35,0.36,18.22,23.2,0.79,9.66,32.77,42.43,25.99,13.96,7.72,4.48,4.2,17.26,19.22,113.39
Memphis Grizzlies,48.06,44.76,93.34,0.48,13.91,37.88,0.37,18.28,23.27,0.79,12.88,34.38,47.26,28.41,15.67,8.85,5.63,5.49,20.87,20.16,121.71
Miami Heat,48.61,40.46,87.05,0.47,13.71,37.32,0.37,15.96,20.17,0.8,9.73,33.66,43.39,26.41,13.59,8.15,3.83,4.66,15.55,16.95,110.6
Milwaukee Bucks,48.18,42.01,86.37,0.49,14.16,36.62,0.39,17.33,23.11,0.75,8.22,35.15,43.37,25.49,13.38,7.33,4.68,3.84,17.91,18.93,115.51
Minnesota Timberwolves,48.37,41.02,87.59,0.47,15.04,39.87,0.38,17.21,21.82,0.79,11.07,33.24,44.32,26.12,14.46,7.98,4.95,4.49,18.27,19.16,114.29
New Orleans Pelicans,48.18,40.63,89.85,0.45,12.02,34.62,0.34,16.54,21.94,0.75,12.11,31.5,43.61,25.84,14.65,8.55,5.23,5.22,18.28,17.94,109.83
New York Knicks,48.49,43.33,89.21,0.49,12.57,34.07,0.37,16.55,20.68,0.8,10.85,31.79,42.65,27.49,13.27,8.18,3.95,4.95,17.16,18.95,115.78
Oklahoma City Thunder,48.06,44.63,92.68,0.48,14.54,38.83,0.37,16.7,20.39,0.82,10.62,34.16,44.78,26.85,11.72,10.33,5.67,4.78,19.89,18.11,120.5
Orlando Magic,48.12,38.17,85.78,0.45,11.23,35.27,0.32,17.85,23.05,0.78,11.15,30.7,41.84,23.01,14.21,8.89,5.95,4.4,20.1,20.32,105.43
Philadelphia 76ers,48.3,39.68,87.41,0.45,12.7,37.2,0.34,17.55,22.49,0.78,10.39,29.4,39.79,23.18,13.62,9.17,4.46,5.12,18.98,18.66,109.61
Phoenix Suns,48.37,41.23,86.28,0.48,14.34,37.95,0.38,16.82,20.76,0.81,9.55,32.94,42.49,27.77,14.06,7.23,4.78,4.01,17.94,18.4,113.62
Portland Trail Blazers,48.24,40.55,90.2,0.45,12.89,37.74,0.34,16.9,22.2,0.76,13.35,31.41,44.77,23.8,15.96,8.27,5.28,5.52,19.0,19.28,110.89
Sacramento Kings,48.49,43.04,90.06,0.48,12.59,35.21,0.36,17.07,21.2,0.81,10.99,33.21,44.2,26.45,13.32,7.56,4.35,4.27,18.88,18.48,115.73
San Antonio Spurs,48.12,41.78,89.78,0.47,14.12,39.59,0.36,16.24,20.99,0.78,10.93,32.74,43.67,28.63,13.88,8.22,5.55,4.34,16.62,17.41,113.93
Toronto Raptors,48.3,41.63,91.0,0.46,11.82,33.98,0.35,15.78,21.09,0.74,12.61,32.51,45.12,28.54,15.33,8.1,4.24,5.9,21.2,18.1,110.87
Utah Jazz,48.3,40.3,88.68,0.46,13.95,39.84,0.35,17.33,22.39,0.77,11.99,33.43,45.41,25.52,17.22,6.77,4.39,6.43,18.89,19.27,111.89
Washington Wizards,48.12,39.43,89.89,0.44,13.11,39.15,0.33,16.04,20.61,0.77,10.57,33.12,43.7,25.1,15.56,7.6,5.12,5.22,19.73,18.17,108.0
